model,model_revision,backend,task,example_id,keyword_strategy,clean_question,context,reference,question_word_count,condition,typo_type,location,severity,actual_severity,severity_achieved,typo_difficulty,mitigation,input_question,corruption_seed,edits,corruption_replicate,actual_char_operations,prediction,em,f1,semantic_correct,accuracy,latency_seconds,error,token_count,clean_token_count,token_increase,clean_example_score,example_drop,x,y
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,clean,none,none,0,0,True,none,none,How many total touchdowns did Cam Newton score?,,[],,0,"35 passing, 10 rushing",0.0,0.0,0.0,,1.121026171998892,,9,9,0,0.0,0.0,-9.831902,-14.067139
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,corrupted,keyboard,any,1,1,True,hard,none,How many total toufhdpwns did Cam Newton score?,42556087.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}]",0.0,2,"35 passing, 10 rushing",0.0,0.0,0.0,,1.267128371000581,,13,9,4,0.0,0.0,9.809505,-9.31972
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,corrupted,keyboard,any,2,2,True,hard,none,How many yktal toufhdpwns did Cam Newton score?,42556087.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""total"", ""new"": ""yktal"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}]",0.0,4,I can't help with that.,0.0,0.0,0.0,,1.3619129969993082,,15,9,6,0.0,0.0,17.924742,-7.5037017
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,corrupted,keyboard,any,3,3,True,hard,none,How many yktal toufhdpwns did Cam Newton scofw?,42556087.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""total"", ""new"": ""yktal"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""score"", ""new"": ""scofw"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [3, 4], ""operation_count"": 2}]",0.0,6,I can't fulfill this request.,0.0,0.0,0.0,,1.26754833799896,,16,9,7,0.0,0.0,22.532166,-6.4003243
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,clean,none,none,0,0,True,none,none,Who won Super Bowl XLIX?,,[],,0,New England Patriots,1.0,1.0,1.0,,0.6350612019996333,,7,7,0,1.0,0.0,-5.341525,-27.970114
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,corrupted,keyboard,any,1,1,True,hard,none,Who won Super Bowl CLIS?,43566794.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}]",0.0,2,There is no mention of Super Bowl CLIS in the provided context.,0.0,0.0,0.0,,1.1690857760004292,,7,7,0,1.0,1.0,-0.29545304,-28.145452
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,corrupted,keyboard,any,2,2,True,hard,none,Who won Super Bpsl CLIS?,43566794.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 2], ""operation_count"": 2}]",0.0,4,The Broncos,0.0,0.0,0.0,,0.5734679540000798,,9,7,2,1.0,1.0,9.993766,-26.972761
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,corrupted,keyboard,any,3,3,True,hard,none,Who won Supdt Bpsl CLIS?,43566794.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Super"", ""new"": ""Supdt"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [3, 4], ""operation_count"": 2}]",0.0,6,Broncos,0.0,0.0,0.0,,0.5955929000010656,,10,7,3,1.0,1.0,18.65995,-24.523235
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56bf1ae93aeaaa14008c951b,idf,Which network broadcasted the 50th Super Bowl game? ,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.","[""CBS"", ""CBS"", ""CBS""]",8,clean,none,none,0,0,True,none,none,Which network broadcasted the 50th Super Bowl game? ,,[],,0,CBS,1.0,1.0,1.0,,0.4646799620004458,,13,13,0,1.0,0.0,-9.662009,-25.396988
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56bf1ae93aeaaa14008c951b,idf,Which network broadcasted the 50th Super Bowl game? ,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.","[""CBS"", ""CBS"", ""CBS""]",8,corrupted,keyboard,any,1,1,True,hard,none,Which network broadcasted the 50th Super Bowl gqke? ,42075751.0,"[{""edit_num"": 1, ""old"": ""game"", ""new"": ""gqke"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [1, 2], ""operation_count"": 2}]",0.0,2,CBS,1.0,1.0,1.0,,0.5334582010000304,,15,13,2,1.0,0.0,-0.87530524,-23.65624
