model,task,typo_type,location,severity,typo_difficulty,keyword_strategy,mitigation,score,score_std,n,requested_n,requested_rows,excluded_examples_due_to_errors,corruption_replicates,error_rate,mean_actual_severity,mean_actual_char_operations,severity_completion_rate,clean_score,absolute_drop,drop_ci_2.5,drop_ci_97.5,bootstrap_probability_drop_le_zero,relative_degradation
Qwen/Qwen3-4B,squad,deletion,beginning,1,standard,idf,none,0.8698310764730202,0.2852239907773041,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.0049073327212713425,-0.013821605924978685,0.024868146486576787,0.3182,0.005610057440819836
Qwen/Qwen3-4B,squad,deletion,end,1,standard,idf,none,0.8594444311135487,0.29702971992263855,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.015293978080742785,-0.0018756620830150232,0.036759343658792173,0.0474,0.01748405914269826
Qwen/Qwen3-4B,squad,deletion,keyword,1,standard,idf,none,0.8615814642873467,0.28596926700928277,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.01315694490694491,-0.002003509222259218,0.03077026330151329,0.0474,0.015041005137825803
Qwen/Qwen3-4B,squad,deletion,middle,1,standard,idf,none,0.861619361575244,0.2924690182522469,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.013119047619047619,-0.00194532967032967,0.03133942307692307,0.0494,0.014997680999433162
Qwen/Qwen3-4B,squad,keyboard,beginning,1,standard,idf,none,0.8446080986835462,0.31445429564530153,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.030130310510745294,0.0035282937171524135,0.05886140170216251,0.0146,0.03444493827417258
Qwen/Qwen3-4B,squad,keyboard,end,1,standard,idf,none,0.857161857478034,0.2964562299255258,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.0175765517162576,-0.0027879653434800494,0.03947130867498514,0.0458,0.02009349484544425
Qwen/Qwen3-4B,squad,keyboard,keyword,1,standard,idf,none,0.8698813393317869,0.27978933618439616,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.004857069862504647,-0.006368784838350056,0.017725111482720175,0.2124,0.005552596995230174
Qwen/Qwen3-4B,squad,keyboard,middle,1,standard,idf,none,0.8597579452138275,0.2955971107068266,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.01498046398046398,-0.002524496336996337,0.03611974969474969,0.0488,0.017125650163529755
Qwen/Qwen3-4B,squad,transposition,beginning,1,standard,idf,none,0.8568807939462164,0.29774011818852353,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.017857615248075165,-0.0027624435150314284,0.03992052570676523,0.05,0.020414806369967845
Qwen/Qwen3-4B,squad,transposition,end,1,standard,idf,none,0.8752584613927326,0.2739086351057179,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,-0.0005200521984409451,-0.0065066375067813695,0.005271189504229785,0.5782,-0.0005945231088228506
Qwen/Qwen3-4B,squad,transposition,keyword,1,standard,idf,none,0.8636218035776859,0.28842657950774186,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.011116605616605617,-0.0026584935897435874,0.027968269230769234,0.0648,0.012708491475577201
Qwen/Qwen3-4B,squad,transposition,middle,1,standard,idf,none,0.8654554421613244,0.2842753500048708,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8747384091942917,0.009282967032967033,-0.0020009615384615383,0.022170741758241755,0.058,0.010612277836887755
