model,model_revision,backend,task,example_id,keyword_strategy,clean_question,context,reference,question_word_count,condition,typo_type,location,severity,actual_severity,severity_achieved,typo_difficulty,mitigation,input_question,corruption_seed,edits,corruption_replicate,actual_char_operations,prediction,em,f1,semantic_correct,accuracy,latency_seconds,error
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,572759665951b619008f8884,idf,In what year did Massachusetts first require children to be educated in schools?,"Private schooling in the United States has been debated by educators, lawmakers and parents, since the beginnings of compulsory education in Massachusetts in 1852. The Supreme Court precedent appears to favor educational choice, so long as states may set standards for educational accomplishment. Some of the most relevant Supreme Court case law on this is as follows: Runyon v. McCrary, 427 U.S. 160 (1976); Wisconsin v. Yoder, 406 U.S. 205 (1972); Pierce v. Society of Sisters, 268 U.S. 510 (1925); Meyer v. Nebraska, 262 U.S. 390 (1923).","[""1852"", ""1852"", ""1852""]",13,clean,none,none,0,0,True,none,none,In what year did Massachusetts first require children to be educated in schools?,,[],,0,1852,1.0,1.0,1.0,,1.6828927110000222,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,57296de03f37b3190047839e,idf,When were stromules discovered?,"The chloroplast membranes sometimes protrude out into the cytoplasm, forming a stromule, or stroma-containing tubule. Stromules are very rare in chloroplasts, and are much more common in other plastids like chromoplasts and amyloplasts in petals and roots, respectively. They may exist to increase the chloroplast's surface area for cross-membrane transport, because they are often branched and tangled with the endoplasmic reticulum. When they were first observed in 1962, some plant biologists dismissed the structures as artifactual, claiming that stromules were just oddly shaped chloroplasts with constricted regions or dividing chloroplasts. However, there is a growing body of evidence that stromules are functional, integral features of plant cell plastids, not merely artifacts.","[""1962"", ""1962"", ""1962""]",4,clean,none,none,0,0,True,none,none,When were stromules discovered?,,[],,0,1962,1.0,1.0,1.0,,0.6867202359990188,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,5726d4a45951b619008f7f6c,idf,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,"Not only the work of British artists and craftspeople is on display, but also work produced by European artists that was purchased or commissioned by British patrons, as well as imports from Asia, including porcelain, cloth and wallpaper. Designers and artists whose work is on display in the galleries include Gian Lorenzo Bernini, Grinling Gibbons, Daniel Marot, Louis Laguerre, Antonio Verrio, Sir James Thornhill, William Kent, Robert Adam, Josiah Wedgwood, Matthew Boulton, Canova, Thomas Chippendale, Pugin, William Morris. Patrons who have influenced taste are also represented by works of art from their collections, these include: Horace Walpole (a major influence on the Gothic Revival), William Thomas Beckford and Thomas Hope.","[""Horace Walpole"", ""Horace Walpole"", ""Horace Walpole""]",20,clean,none,none,0,0,True,none,none,Which artist who had a major influence on the Gothic Revival is represented in the V&A's British galleries?,,[],,0,Horace Walpole,1.0,1.0,1.0,,0.8392074420007702,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,572843304b864d1900164848,idf,"In 1890, who did the university decide to team up with?","In the 1890s, the University of Chicago, fearful that its vast resources would injure smaller schools by drawing away good students, affiliated with several regional colleges and universities: Des Moines College, Kalamazoo College, Butler University, and Stetson University. In 1896, the university affiliated with Shimer College in Mount Carroll, Illinois. Under the terms of the affiliation, the schools were required to have courses of study comparable to those at the university, to notify the university early of any contemplated faculty appointments or dismissals, to make no faculty appointment without the university's approval, and to send copies of examinations for suggestions. The University of Chicago agreed to confer a degree on any graduating senior from an affiliated school who made a grade of A for all four years, and on any other graduate who took twelve weeks additional study at the University of Chicago. A student or faculty member of an affiliated school was entitled to free tuition at the University of Chicago, and Chicago students were eligible to attend an affiliated school on the same terms and receive credit for their work. The University of Chicago also agreed to provide affiliated schools with books and scientific apparatus and supplies at cost; special instructors and lecturers without cost except travel expenses; and a copy of every book and journal published by the University of Chicago Press at no cost. The agreement provided that either party could terminate the affiliation on proper notice. Several University of Chicago professors disliked the program, as it involved uncompensated additional labor on their part, and they believed it cheapened the academic reputation of the university. The program passed into history by 1910.","[""several regional colleges and universities"", ""Des Moines College, Kalamazoo College, Butler University, and Stetson University"", ""Des Moines College, Kalamazoo College, Butler University, and Stetson University"", ""Des Moines College, Kalamazoo College, Butler University, and Stetson University""]",10,clean,none,none,0,0,True,none,none,"In 1890, who did the university decide to team up with?",,[],,0,Des Moines College,0.0,0.4615384615384615,0.0,,1.1134449929995753,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56d729180d65d21400198427,idf,Who got a touchdown making the score 10-7?,"After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter. Later on, Broncos receiver Jordan Norwood received Brad Nortman's short 28-yard punt surrounded by Panthers players, but none of them attempted to make a tackle, apparently thinking Norwood had called a fair catch. Norwood had not done so, and with no resistance around him, he took off for a Super Bowl record 61-yard return before Mario Addison dragged him down on the Panthers 14-yard line. Despite Denver's excellent field position, they could not get the ball into the end zone, so McManus kicked a 33-yard field goal that increased their lead to 13–7.","[""Jonathan Stewart"", ""Jonathan Stewart"", ""Stewart""]",7,clean,none,none,0,0,True,none,none,Who got a touchdown making the score 10-7?,,[],,0,Jonathan Stewart,1.0,1.0,1.0,,0.784504774999732,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,57274beff1498d1400e8f5e6,idf,How many Examination Boards exist in India?,"In India, private schools are called independent schools, but since some private schools receive financial aid from the government, it can be an aided or an unaided school. So, in a strict sense, a private school is an unaided independent school. For the purpose of this definition, only receipt of financial aid is considered, not land purchased from the government at a subsidized rate. It is within the power of both the union government and the state governments to govern schools since Education appears in the Concurrent list of legislative subjects in the constitution. The practice has been for the union government to provide the broad policy directions while the states create their own rules and regulations for the administration of the sector. Among other things, this has also resulted in 30 different Examination Boards or academic authorities that conduct examinations for school leaving certificates. Prominent Examination Boards that are present in multiple states are the CBSE and the CISCE, NENBSE","[""30"", ""30"", ""30""]",7,clean,none,none,0,0,True,none,none,How many Examination Boards exist in India?,,[],,0,30,1.0,1.0,1.0,,0.7330465800005186,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,57274d905951b619008f87e3,idf,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,"The Writers Guild of America strike that halted production of network programs for much of the 2007–08 season affected the network in 2007–08 and 2008–09, as various ABC shows that premiered in 2007, such as Dirty Sexy Money, Pushing Daisies, Eli Stone and Samantha Who?, did not live to see a third season; other series such as Boston Legal and the U.S. version of Life on Mars suffered from low viewership, despite the former, a spin off of The Practice, being a once-highlighted breakout series when it debuted in 2005. One of the network's strike-replacement programs during that time was the game show Duel, which premiered in December 2007. The program would become a minor success for the network during its initial six-episode run, which led ABC to renew Duel as a regular series starting in April 2008. However, Duel suffered from low viewership during its run as a regular series, and ABC canceled the program after sixteen episodes. On August 15, 2008, Disney denied rumors started by Caris & Co. that it would be selling the ten ABC owned-and-operated stations.","[""Caris & Co."", ""Caris & Co."", ""Caris & Co.""]",14,clean,none,none,0,0,True,none,none,Who started rumors in 2008 that ABC would sell its ten owned-and-operated stations?,,[],,0,Caris & Co,1.0,1.0,1.0,,0.9912359669997386,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,56bf1ae93aeaaa14008c951b,idf,Which network broadcasted the 50th Super Bowl game? ,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.","[""CBS"", ""CBS"", ""CBS""]",8,clean,none,none,0,0,True,none,none,Which network broadcasted the 50th Super Bowl game? ,,[],,0,CBS,1.0,1.0,1.0,,0.4646799620004458,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,57264d9edd62a815002e8100,idf,Why was this short termed organization created?,"In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the same amount of domestic oil for 1974 that each had consumed in 1972, which worked for states whose populations were not increasing. In other states, lines at gasoline stations were common. The American Automobile Association reported that in the last week of February 1974, 20% of American gasoline stations had no fuel.","[""coordinate the response to the embargo"", ""to coordinate the response to the embargo"", ""to coordinate the response to the embargo"", ""to coordinate the response to the embargo"", ""to coordinate the response to the embargo""]",7,clean,none,none,0,0,True,none,none,Why was this short termed organization created?,,[],,0,to coordinate the response to the embargo,1.0,1.0,1.0,,0.6979533190005895,
meta-llama/Llama-3.2-3B-Instruct,,hf,squad,5725c41eec44d21400f3d50b,idf,What does LGM stands for?,"There is evidence that there have been significant changes in Amazon rainforest vegetation over the last 21,000 years through the Last Glacial Maximum (LGM) and subsequent deglaciation. Analyses of sediment deposits from Amazon basin paleolakes and from the Amazon Fan indicate that rainfall in the basin during the LGM was lower than for the present, and this was almost certainly associated with reduced moist tropical vegetation cover in the basin. There is debate, however, over how extensive this reduction was. Some scientists argue that the rainforest was reduced to small, isolated refugia separated by open forest and grassland; other scientists argue that the rainforest remained largely intact but extended less far to the north, south, and east than is seen today. This debate has proved difficult to resolve because the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin, and both explanations are reasonably well supported by the available data.","[""Last Glacial Maximum"", ""Last Glacial Maximum"", ""Last Glacial Maximum""]",5,clean,none,none,0,0,True,none,none,What does LGM stands for?,,[],,0,Last Glacial Maximum,1.0,1.0,1.0,,0.8238332960008847,
