example_id,condition,typo_type,location,severity,clean_question,input_question,token_count,token_increase,example_drop,edits
56beb3a03aeaaa14008c9248,corrupted,keyboard,any,1,How many total touchdowns did Cam Newton score?,How many total toufhdpwns did Cam Newton score?,13,4,0.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}]"
56beb3a03aeaaa14008c9248,corrupted,keyboard,any,2,How many total touchdowns did Cam Newton score?,How many yktal toufhdpwns did Cam Newton score?,15,6,0.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""total"", ""new"": ""yktal"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}]"
56beb3a03aeaaa14008c9248,corrupted,keyboard,any,3,How many total touchdowns did Cam Newton score?,How many yktal toufhdpwns did Cam Newton scofw?,16,7,0.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""total"", ""new"": ""yktal"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""score"", ""new"": ""scofw"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [3, 4], ""operation_count"": 2}]"
56beb7953aeaaa14008c92ad,corrupted,keyboard,any,1,Who won Super Bowl XLIX?,Who won Super Bowl CLIS?,7,0,1.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}]"
56beb7953aeaaa14008c92ad,corrupted,keyboard,any,2,Who won Super Bowl XLIX?,Who won Super Bpsl CLIS?,9,2,1.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 2], ""operation_count"": 2}]"
56beb7953aeaaa14008c92ad,corrupted,keyboard,any,3,Who won Super Bowl XLIX?,Who won Supdt Bpsl CLIS?,10,3,1.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Super"", ""new"": ""Supdt"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [3, 4], ""operation_count"": 2}]"
56bf1ae93aeaaa14008c951b,corrupted,keyboard,any,1,Which network broadcasted the 50th Super Bowl game? ,Which network broadcasted the 50th Super Bowl gqke? ,15,2,0.0,"[{""edit_num"": 1, ""old"": ""game"", ""new"": ""gqke"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [1, 2], ""operation_count"": 2}]"
56bf1ae93aeaaa14008c951b,corrupted,keyboard,any,2,Which network broadcasted the 50th Super Bowl game? ,Which network brladcqsted the 50th Super Bowl gqke? ,17,4,0.0,"[{""edit_num"": 1, ""old"": ""game"", ""new"": ""gqke"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""broadcasted"", ""new"": ""brladcqsted"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [2, 6], ""operation_count"": 2}]"
56bf1ae93aeaaa14008c951b,corrupted,keyboard,any,3,Which network broadcasted the 50th Super Bowl game? ,Which network brladcqsted the 50th Zuprr Bowl gqke? ,19,6,0.0,"[{""edit_num"": 1, ""old"": ""game"", ""new"": ""gqke"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""broadcasted"", ""new"": ""brladcqsted"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [2, 6], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Super"", ""new"": ""Zuprr"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 5, ""char_indices"": [0, 3], ""operation_count"": 2}]"
56d70d240d65d21400198327,corrupted,keyboard,any,1,Which hotel did the Panthers stay at for the Super Bowl?,Which jotsl did the Panthers stay at for the Super Bowl?,14,2,0.0,"[{""edit_num"": 1, ""old"": ""hotel"", ""new"": ""jotsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 1, ""char_indices"": [0, 3], ""operation_count"": 2}]"
