model,model_revision,backend,task,example_id,keyword_strategy,clean_question,context,reference,question_word_count,condition,typo_type,location,severity,actual_severity,severity_achieved,typo_difficulty,mitigation,input_question,corruption_seed,edits,corruption_replicate,actual_char_operations,prediction,em,f1,semantic_correct,accuracy,latency_seconds,error
Qwen/Qwen3-4B,,hf,squad,572fffb404bcaa1900d76ff2,idf,When did rapid warming begin and help vegetation?,"As northwest Europe slowly began to warm up from 22,000 years ago onward, frozen subsoil and expanded alpine glaciers began to thaw and fall-winter snow covers melted in spring. Much of the discharge was routed to the Rhine and its downstream extension. Rapid warming and changes of vegetation, to open forest, began about 13,000 BP. By 9000 BP, Europe was fully forested. With globally shrinking ice-cover, ocean water levels rose and the English Channel and North Sea re-inundated. Meltwater, adding to the ocean and land subsidence, drowned the former coasts of Europe transgressionally.","[""13,000 BP"", ""13,000 BP"", ""13,000 BP""]",8,clean,none,none,0,0,True,none,none,When did rapid warming begin and help vegetation?,,[],,0,"13,000 BP",1.0,1.0,1.0,,2.312398968999787,
Qwen/Qwen3-4B,,hf,squad,5725bd4b38643c19005acc33,idf,How long did it take Johnson to respond to Kennedy?,"On April 20, Kennedy sent a memo to Vice President Lyndon B. Johnson, asking Johnson to look into the status of America's space program, and into programs that could offer NASA the opportunity to catch up. Johnson responded approximately one week later, concluding that ""we are neither making maximum effort nor achieving results necessary if this country is to reach a position of leadership."" His memo concluded that a manned Moon landing was far enough in the future that it was likely the United States would achieve it first.","[""approximately one week"", ""one week"", ""one week"", ""one week"", ""one week""]",10,clean,none,none,0,0,True,none,none,How long did it take Johnson to respond to Kennedy?,,[],,0,One week,1.0,1.0,1.0,,0.7054030499998589,
Qwen/Qwen3-4B,,hf,squad,56e1cbe2cd28a01900c67bae,idf,What measurement of time is used in polynomial time reduction?,"The most commonly used reduction is a polynomial-time reduction. This means that the reduction process takes polynomial time. For example, the problem of squaring an integer can be reduced to the problem of multiplying two integers. This means an algorithm for multiplying two integers can be used to square an integer. Indeed, this can be done by giving the same input to both inputs of the multiplication algorithm. Thus we see that squaring is not more difficult than multiplication, since squaring can be reduced to multiplication.","[""polynomial time"", ""polynomial"", ""polynomial time""]",10,clean,none,none,0,0,True,none,none,What measurement of time is used in polynomial time reduction?,,[],,0,polynomial time,1.0,1.0,1.0,,0.8429140839998581,
Qwen/Qwen3-4B,,hf,squad,5729f39a6aef05140015514d,idf,What is the receptor that killer T cells use to bind to specific antigens that are complexed with the MHC Class 1 receptor of another cell?,"Killer T cells are a sub-group of T cells that kill cells that are infected with viruses (and other pathogens), or are otherwise damaged or dysfunctional. As with B cells, each type of T cell recognizes a different antigen. Killer T cells are activated when their T cell receptor (TCR) binds to this specific antigen in a complex with the MHC Class I receptor of another cell. Recognition of this MHC:antigen complex is aided by a co-receptor on the T cell, called CD8. The T cell then travels throughout the body in search of cells where the MHC I receptors bear this antigen. When an activated T cell contacts such cells, it releases cytotoxins, such as perforin, which form pores in the target cell's plasma membrane, allowing ions, water and toxins to enter. The entry of another toxin called granulysin (a protease) induces the target cell to undergo apoptosis. T cell killing of host cells is particularly important in preventing the replication of viruses. T cell activation is tightly controlled and generally requires a very strong MHC/antigen activation signal, or additional activation signals provided by ""helper"" T cells (see below).","[""T cell receptor (TCR)"", ""T cell receptor"", ""T cell receptor (TCR)""]",25,clean,none,none,0,0,True,none,none,What is the receptor that killer T cells use to bind to specific antigens that are complexed with the MHC Class 1 receptor of another cell?,,[],,0,T cell receptor (TCR),1.0,1.0,1.0,,1.4964374400001361,
Qwen/Qwen3-4B,,hf,squad,571136b8a58dae1900cd6d22,idf,"Along with poppet valve gears, what type of gears utilized separate admission and exhaust valves to give ideal events?","In the 1840s and 50s, there were attempts to overcome this problem by means of various patent valve gears with a separate, variable cutoff expansion valve riding on the back of the main slide valve; the latter usually had fixed or limited cutoff. The combined setup gave a fair approximation of the ideal events, at the expense of increased friction and wear, and the mechanism tended to be complicated. The usual compromise solution has been to provide lap by lengthening rubbing surfaces of the valve in such a way as to overlap the port on the admission side, with the effect that the exhaust side remains open for a longer period after cut-off on the admission side has occurred. This expedient has since been generally considered satisfactory for most purposes and makes possible the use of the simpler Stephenson, Joy and Walschaerts motions. Corliss, and later, poppet valve gears had separate admission and exhaust valves driven by trip mechanisms or cams profiled so as to give ideal events; most of these gears never succeeded outside of the stationary marketplace due to various other issues including leakage and more delicate mechanisms.","[""Corliss"", ""patent valve"", ""Corliss""]",19,clean,none,none,0,0,True,none,none,"Along with poppet valve gears, what type of gears utilized separate admission and exhaust valves to give ideal events?",,[],,0,"Corliss, and later, poppet valve gears.",0.0,0.2857142857142857,1.0,,1.6246401159996822,
Qwen/Qwen3-4B,,hf,squad,56e089ab231d4119001ac285,idf,When was a patent-sharing agreement signed between Westinghouse Electric and General Electric?,"The mid 1890s saw the conglomerate General Electric, backed by financier J. P. Morgan, involved in takeover attempts and patent battles with Westinghouse Electric. Although a patent-sharing agreement was signed between the two companies in 1896 Westinghouse was still cash-strapped from the financial warfare. To secure further loans, Westinghouse was forced to revisit Tesla's AC patent, which bankers considered a financial strain on the company (at that point Westinghouse had paid out an estimated $200,000 in licenses and royalties to Tesla, Brown, and Peck). In 1897, Westinghouse explained his financial difficulties to Tesla in stark terms, saying that if things continue the way they were he would no longer be in control of Westinghouse Electric and Tesla would have to ""deal with the bankers"" to try to collect future royalties. Westinghouse convinced Tesla to release his company from the licensing agreement over Tesla's AC patents in exchange for Westinghouse Electric purchasing the patents for a lump sum payment of $216,000; this provided Westinghouse a break from what, due to alternating current's rapid gain in popularity, had turned out to be an overly generous $2.50 per AC horsepower royalty.","[""1896"", ""1896"", ""1896""]",13,clean,none,none,0,0,True,none,none,When was a patent-sharing agreement signed between Westinghouse Electric and General Electric?,,[],,0,1896,1.0,1.0,1.0,,1.349900999000056,
Qwen/Qwen3-4B,,hf,squad,570d29c2b3d812140066d4c0,idf,How many Victorians are Buddhist?,"About 61.1% of Victorians describe themselves as Christian. Roman Catholics form the single largest religious group in the state with 26.7% of the Victorian population, followed by Anglicans and members of the Uniting Church. Buddhism is the state's largest non-Christian religion, with 168,637 members as of the most recent census. Victoria is also home of 152,775 Muslims and 45,150 Jews. Hinduism is the fastest growing religion. Around 20% of Victorians claim no religion. Amongst those who declare a religious affiliation, church attendance is low.","[""168,637"", ""168,637"", ""168,637""]",5,clean,none,none,0,0,True,none,none,How many Victorians are Buddhist?,,[],,0,"168,637",1.0,1.0,1.0,,1.100031976000082,
Qwen/Qwen3-4B,,hf,squad,57267ebfdd62a815002e872c,idf,Zones in which mountains are built along convergent tectonic plate boundaries are called what?,"Among the most well-known experiments in structural geology are those involving orogenic wedges, which are zones in which mountains are built along convergent tectonic plate boundaries. In the analog versions of these experiments, horizontal layers of sand are pulled along a lower surface into a back stop, which results in realistic-looking patterns of faulting and the growth of a critically tapered (all angles remain the same) orogenic wedge. Numerical models work in the same way as these analog models, though they are often more sophisticated and can include patterns of erosion and uplift in the mountain belt. This helps to show the relationship between erosion and the shape of the mountain range. These studies can also give useful information about pathways for metamorphism through pressure, temperature, space, and time.","[""orogenic wedges"", ""orogenic wedges"", ""orogenic wedges""]",14,clean,none,none,0,0,True,none,none,Zones in which mountains are built along convergent tectonic plate boundaries are called what?,,[],,0,Orogenic wedges.,1.0,1.0,1.0,,1.0830763119997755,
Qwen/Qwen3-4B,,hf,squad,57115e532419e314009555b1,idf,What was compounding seen as being in the locomotive construction industry?,"The adoption of compounding was common for industrial units, for road engines and almost universal for marine engines after 1880; it was not universally popular in railway locomotives where it was often perceived as complicated. This is partly due to the harsh railway operating environment and limited space afforded by the loading gauge (particularly in Britain, where compounding was never common and not employed after 1930). However, although never in the majority, it was popular in many other countries.","[""complicated"", ""complicated"", ""complicated""]",11,clean,none,none,0,0,True,none,none,What was compounding seen as being in the locomotive construction industry?,,[],,0,complicated,1.0,1.0,1.0,,0.6860920389999592,
Qwen/Qwen3-4B,,hf,squad,5726e3c4dd62a815002e9405,idf,What is the origin of clinical pharmacy?,"Pharmacists provide direct patient care services that optimizes the use of medication and promotes health, wellness, and disease prevention. Clinical pharmacists care for patients in all health care settings, but the clinical pharmacy movement initially began inside hospitals and clinics. Clinical pharmacists often collaborate with physicians and other healthcare professionals to improve pharmaceutical care. Clinical pharmacists are now an integral part of the interdisciplinary approach to patient care. They often participate in patient care rounds drug product selection.","[""inside hospitals and clinics"", ""inside hospitals and clinics"", ""the clinical pharmacy movement initially began inside hospitals and clinics""]",7,clean,none,none,0,0,True,none,none,What is the origin of clinical pharmacy?,,[],,0,Clinical pharmacy movement initially began inside hospitals and clinics.,1.0,1.0,1.0,,1.109430002999943,
