model,task,typo_type,location,severity,typo_difficulty,keyword_strategy,mitigation,score,score_std,n,requested_n,requested_rows,excluded_examples_due_to_errors,corruption_replicates,error_rate,mean_actual_severity,mean_actual_char_operations,severity_completion_rate,clean_score,absolute_drop,drop_ci_2.5,drop_ci_97.5,bootstrap_probability_drop_le_zero,relative_degradation
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,any,2,hard,idf,none,0.7180476659679271,0.4002586652547024,200,200,200,0,1,0.0,2.0,4.0,1.0,0.8708863509641374,0.15283868499621014,0.10779147181730697,0.20176943960485863,0.0,0.17549785322390932
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,any,2,hard,idf,self_correct,0.7176958810549487,0.40680039952106223,200,200,200,0,1,0.0,2.0,4.0,1.0,0.84377752807418,0.12608164701923116,0.0762032341343895,0.18003483259812256,0.0,0.14942522504361694
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,any,3,hard,idf,none,0.6735627243114791,0.4240923492421036,200,200,200,0,1,0.0,2.975,5.95,0.975,0.8708863509641374,0.19732362665265818,0.1397943459118617,0.2567753320300252,0.0,0.2265779299838675
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,any,3,hard,idf,self_correct,0.6538952164417842,0.4247473102436767,200,200,200,0,1,0.0,2.975,5.95,0.975,0.84377752807418,0.18988231163239574,0.13386466123569662,0.2478334893205791,0.0,0.22503836060410273
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,any,2,hard,idf,none,0.6653847875431973,0.429321709239137,200,200,200,0,1,0.0,2.0,4.0,1.0,0.8708863509641374,0.20550156342093998,0.15272608919946845,0.2611428444623376,0.0,0.2359682904588344
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,any,2,hard,idf,self_correct,0.6997583657194072,0.411434553509823,200,200,200,0,1,0.0,2.0,4.0,1.0,0.84377752807418,0.1440191623547728,0.09258134872823803,0.19813036641211895,0.0,0.17068380889863125
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,any,3,hard,idf,none,0.6310884694821735,0.4309399522112691,200,200,200,0,1,0.0,2.975,5.95,0.975,0.8708863509641374,0.2397978814819639,0.18414317862399426,0.29861405515631345,0.0,0.27534922463360395
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,any,3,hard,idf,self_correct,0.6370701656820938,0.4200384195761986,200,200,200,0,1,0.0,2.975,5.95,0.975,0.84377752807418,0.20670736239208612,0.15237965254121552,0.2644769978969797,0.0,0.2449785109398097
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,any,2,hard,idf,none,0.7793296736123936,0.3628528380934158,200,200,200,0,1,0.0,2.0,4.0,1.0,0.8708863509641374,0.09155667735174376,0.05271605907270044,0.13240657290869576,0.0,0.10513045387654034
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,any,2,hard,idf,self_correct,0.7378626680087781,0.39115641693820047,200,200,200,0,1,0.0,2.0,4.0,1.0,0.84377752807418,0.10591486006540186,0.05982832592888707,0.1542054829587337,0.0,0.12552462769083184
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,any,3,hard,idf,none,0.7000131702842803,0.4079404377134397,200,200,200,0,1,0.0,2.975,5.95,0.975,0.8708863509641374,0.170873180679857,0.11685701607259269,0.22692983935738814,0.0,0.19620606120498663
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,any,3,hard,idf,self_correct,0.6642273282092713,0.416622250125272,200,200,200,0,1,0.0,2.975,5.95,0.975,0.84377752807418,0.1795501998649086,0.12461146853663796,0.2365776414196836,0.0,0.21279329431148775
