model,task,typo_type,location,severity,typo_difficulty,keyword_strategy,mitigation,score,score_std,n,requested_n,requested_rows,excluded_examples_due_to_errors,corruption_replicates,error_rate,mean_actual_severity,mean_actual_char_operations,severity_completion_rate,clean_score,absolute_drop,drop_ci_2.5,drop_ci_97.5,bootstrap_probability_drop_le_zero,relative_degradation
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,beginning,1,standard,idf,none,0.8489023762185528,0.30593863124913023,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.017044580806190715,-0.011914441492460072,0.046371065228630964,0.116,0.019683169584374077
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,end,1,standard,idf,none,0.844724892292987,0.3169905266502512,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.021222064731756484,-0.010622092226658794,0.05593433641503198,0.0992,0.024507349508649048
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,keyword,1,standard,idf,none,0.8615465776054012,0.2903396505510806,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.004400379419342268,-0.015402377933598907,0.0259869163924311,0.3514,0.0050815807869586775
meta-llama/Llama-3.2-3B-Instruct,squad,deletion,middle,1,standard,idf,none,0.8374093965460065,0.3161935527094314,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.02853756047873695,0.0022892857142857133,0.057391972243442814,0.016,0.03295532162476497
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,beginning,1,standard,idf,none,0.8547710604811998,0.30272427170864485,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.011175896543543602,-0.01727333312112724,0.040048407638113515,0.2154,0.012905982812090723
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,end,1,standard,idf,none,0.8268524555509851,0.32763019075412414,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.03909450147375844,0.009523171230214575,0.07352282344848124,0.0044,0.045146531385803296
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,keyword,1,standard,idf,none,0.868450132383956,0.2834768303618227,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,-0.002503175359212511,-0.02795265936334048,0.022706153250773953,0.5684,-0.002890679779986785
meta-llama/Llama-3.2-3B-Instruct,squad,keyboard,middle,1,standard,idf,none,0.8278265688739946,0.32172007474692565,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.038120388150748676,0.010264528118939882,0.06874985673719065,0.0036,0.044021620310006386
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,beginning,1,standard,idf,none,0.8535009565597801,0.3066770985082676,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.012446000464963311,-0.013916458602671837,0.03969817753518407,0.1768,0.014372705353369215
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,end,1,standard,idf,none,0.8444243701027588,0.3113263359259537,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.02152258692198455,-0.008616854275755202,0.054010500896862976,0.0852,0.024854394079670595
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,keyword,1,standard,idf,none,0.8617834657172893,0.29006052160267914,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.004163491307454154,-0.021853044375644996,0.031027450980392134,0.3802,0.004808021176908169
meta-llama/Llama-3.2-3B-Instruct,squad,transposition,middle,1,standard,idf,none,0.8487789914514172,0.3082735462450503,200,200,200,0,1,0.0,1.0,1.0,1.0,0.8659469570247434,0.017167965573326102,-0.008244954312370111,0.04376463670145476,0.0954,0.019825654948095794
