model_a,model_b,gap_definition,typo_type,location,severity,mean_gap,gap_ci_2.5,gap_ci_97.5,n_examples
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,deletion,beginning,1,-0.012137248084919372,-0.041823858608608835,0.01738882826209138,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,deletion,end,1,-0.005928086651013693,-0.0338755683894111,0.021741268393629068,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,deletion,keyword,1,0.00875656548760264,-0.01499051978114478,0.03303553417686544,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,deletion,middle,1,-0.015418512859689329,-0.045328924506865674,0.01363292271454035,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,keyboard,beginning,1,0.018954413967201694,-0.014133548002745572,0.05412737534264065,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,keyboard,end,1,-0.021517949757500834,-0.05813938299187911,0.014060718418148679,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,keyboard,keyword,1,0.007360245221717159,-0.019010268076969095,0.03454846119115661,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,keyboard,middle,1,-0.023139924170284702,-0.055091389299347086,0.008842058847751438,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,transposition,beginning,1,0.0054116147831118535,-0.02546430668908109,0.0365639383660123,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,transposition,end,1,-0.022042639120425495,-0.05455217804963355,0.008744097182487243,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,transposition,keyword,1,0.00695311430915146,-0.019250623967535734,0.03546590647055043,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,transposition,middle,1,-0.007884998540359069,-0.037623048816300714,0.0196153736897985,200
