model,model_revision,backend,task,example_id,keyword_strategy,clean_question,context,reference,question_word_count,condition,typo_type,location,severity,actual_severity,severity_achieved,typo_difficulty,mitigation,input_question,corruption_seed,edits,corruption_replicate,actual_char_operations,prediction,em,f1,semantic_correct,accuracy,latency_seconds,error,token_count,clean_token_count,token_increase,clean_example_score,example_drop,x,y
Qwen/Qwen3-4B,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,clean,none,none,0,0,True,none,none,How many total touchdowns did Cam Newton score?,,[],,0,45,1.0,1.0,1.0,,1.6008335409997017,,9,9,0,1.0,0.0,35.749985,14.197965
Qwen/Qwen3-4B,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,corrupted,keyboard,any,1,1,True,hard,none,How many total toufhdpwns did Cam Newton score?,42556087.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}]",0.0,2,45,1.0,1.0,1.0,,1.5952704840001388,,13,9,4,1.0,0.0,2.8383982,21.99374
Qwen/Qwen3-4B,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,corrupted,keyboard,any,2,2,True,hard,none,How many yktal toufhdpwns did Cam Newton score?,42556087.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""total"", ""new"": ""yktal"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}]",0.0,4,45,1.0,1.0,1.0,,1.593820136999966,,15,9,6,1.0,0.0,-21.827234,22.511717
Qwen/Qwen3-4B,,hf,squad,56beb3a03aeaaa14008c9248,idf,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.","[""45"", ""45"", ""45""]",8,corrupted,keyboard,any,3,3,True,hard,none,How many yktal toufhdpwns did Cam Newton scofw?,42556087.0,"[{""edit_num"": 1, ""old"": ""touchdowns"", ""new"": ""toufhdpwns"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [3, 6], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""total"", ""new"": ""yktal"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [0, 1], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""score"", ""new"": ""scofw"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [3, 4], ""operation_count"": 2}]",0.0,6,45,1.0,1.0,1.0,,1.6060015709999789,,16,9,7,1.0,0.0,-27.449297,23.142096
Qwen/Qwen3-4B,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,clean,none,none,0,0,True,none,none,Who won Super Bowl XLIX?,,[],,0,New England Patriots,1.0,1.0,1.0,,0.814942641000016,,7,7,0,1.0,0.0,30.371437,38.21428
Qwen/Qwen3-4B,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,corrupted,keyboard,any,1,1,True,hard,none,Who won Super Bowl CLIS?,43566794.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}]",0.0,2,The question is invalid as Super Bowl CLIS does not exist. The correct answer is not available in the provided context.,0.0,0.0,0.0,,1.9770576339997208,,7,7,0,1.0,1.0,22.000319,44.470222
Qwen/Qwen3-4B,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,corrupted,keyboard,any,2,2,True,hard,none,Who won Super Bpsl CLIS?,43566794.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 2], ""operation_count"": 2}]",0.0,4,New England Patriots,1.0,1.0,1.0,,0.8159002440006589,,9,7,2,1.0,0.0,11.465387,40.1549
Qwen/Qwen3-4B,,hf,squad,56beb7953aeaaa14008c92ad,idf,Who won Super Bowl XLIX?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.","[""New England Patriots"", ""New England Patriots"", ""Patriots""]",5,corrupted,keyboard,any,3,3,True,hard,none,Who won Supdt Bpsl CLIS?,43566794.0,"[{""edit_num"": 1, ""old"": ""XLIX"", ""new"": ""CLIS"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 4, ""char_indices"": [0, 3], ""operation_count"": 2}, {""edit_num"": 2, ""old"": ""Bowl"", ""new"": ""Bpsl"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 3, ""char_indices"": [1, 2], ""operation_count"": 2}, {""edit_num"": 3, ""old"": ""Super"", ""new"": ""Supdt"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 2, ""char_indices"": [3, 4], ""operation_count"": 2}]",0.0,6,New England Patriots,1.0,1.0,1.0,,0.8732095870000194,,10,7,3,1.0,0.0,-3.4253025,45.670456
Qwen/Qwen3-4B,,hf,squad,56bf1ae93aeaaa14008c951b,idf,Which network broadcasted the 50th Super Bowl game? ,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.","[""CBS"", ""CBS"", ""CBS""]",8,clean,none,none,0,0,True,none,none,Which network broadcasted the 50th Super Bowl game? ,,[],,0,CBS,1.0,1.0,1.0,,0.6142168669994135,,14,14,0,1.0,0.0,34.060547,32.17747
Qwen/Qwen3-4B,,hf,squad,56bf1ae93aeaaa14008c951b,idf,Which network broadcasted the 50th Super Bowl game? ,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.","[""CBS"", ""CBS"", ""CBS""]",8,corrupted,keyboard,any,1,1,True,hard,none,Which network broadcasted the 50th Super Bowl gqke? ,42075751.0,"[{""edit_num"": 1, ""old"": ""game"", ""new"": ""gqke"", ""location"": ""any"", ""typo_type"": ""keyboard"", ""difficulty"": ""hard"", ""word_index"": 7, ""char_indices"": [1, 2], ""operation_count"": 2}]",0.0,2,CBS,1.0,1.0,1.0,,0.7135519570001634,,16,14,2,1.0,0.0,18.11051,35.155167
